@relation 'Loan_Default-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Resample-S1-Z66.0-weka.filters.unsupervised.attribute.Remove-R1-9,13-17,19,21,23-27,29,32'

@attribute rate_of_interest numeric
@attribute Interest_rate_spread numeric
@attribute Upfront_charges numeric
@attribute construction_type {sb,mh}
@attribute Secured_by {home,land}
@attribute income numeric
@attribute LTV numeric
@attribute Security_Type {direct,Indriect}
@attribute Status {yes,no}

@data
3.875,1.2548,3635,sb,home,4200,67.405063,direct,no
4.56,0.3427,0,sb,home,4680,61.548913,direct,no
?,?,?,sb,home,3060,63.104839,direct,yes
?,?,?,sb,home,2220,58.838384,direct,yes
3,-0.3484,4310.98,sb,home,2400,50.932836,direct,no
3.875,0.2041,1365.24,sb,home,7080,73.026316,direct,no
3.75,0.2676,3372.5,sb,home,4440,91.440217,direct,no
3.4,-0.3693,1089,sb,home,11100,79.471545,direct,no
4.25,-0.0502,595,sb,home,17220,72.834912,direct,no
?,?,?,sb,home,6600,95.362903,direct,yes
3.875,0.0998,0,sb,home,4080,66.304348,direct,no
4.375,-0.0201,1656.09,sb,home,4680,85.041841,direct,no
5.125,1.3585,2646.49,sb,home,5040,19.109195,direct,no
?,?,?,sb,home,1980,107.87037,direct,yes
4.75,0.6796,0,sb,home,3840,95.362903,direct,no
3.875,0.4858,5750,sb,home,3240,62.867647,direct,no
3.625,-0.051,3396.25,sb,home,13980,59.769539,direct,no
4.75,0.7905,?,sb,home,7560,29.113111,direct,no
4.99,0.7846,3195.31,sb,home,4560,82.303371,direct,no
?,?,?,sb,home,7980,102.672956,direct,yes
3.625,0.9986,61.05,sb,home,4440,95.863309,direct,no
3.99,0.5323,5456.52,sb,home,6480,78.110048,direct,no
3.75,-0.1422,6433,sb,home,4380,64.271654,direct,no
3.99,0.4101,3612.5,sb,home,3420,77.412281,direct,no
4.99,0.9966,2352.5,sb,home,2580,55.482456,direct,no
3.75,1.0984,4654.68,sb,home,5340,53.591954,direct,no
3.625,0.0849,8173.5,sb,home,4800,78.994845,direct,no
5.99,1.602,?,sb,home,7680,5.826039,direct,no
4.75,1.3398,2315.25,sb,home,13020,92.22973,direct,no
3.75,0.2038,8634.49,sb,home,8220,79.129794,direct,no
?,?,?,sb,home,8520,52.926421,direct,yes
3.375,-0.2629,0,sb,home,6240,46.743487,direct,no
3.5,0.1466,7511.21,sb,home,2760,28.383459,direct,no
3.875,0.3925,6035.19,sb,home,2640,50.584112,direct,no
4.56,0.1467,4947.19,sb,home,12240,75.122549,direct,no
5.375,1.047,1595,sb,home,32820,75.045956,direct,no
4.625,0.6475,0,sb,home,4020,78.361345,direct,no
4.875,0.7485,890.46,sb,home,7560,69.162736,direct,no
4.375,0.6337,5059.8,sb,home,7800,79.653285,direct,no
3.99,0.2828,1420.96,sb,home,4740,78.994845,direct,no
3.375,-0.2222,5925,sb,home,10680,59.711779,direct,no
3.5,0.088,9462.5,sb,home,4500,73.594378,direct,no
3.375,0.4329,5585,sb,home,4620,73.706897,direct,no
3.5,0.8254,5135,sb,home,6000,75.173611,direct,no
?,?,?,sb,home,2100,77.853261,direct,yes
5.625,1.234,1817.5,sb,home,3600,81.798246,direct,no
3.99,1.0309,2241.42,sb,home,1740,58.838384,direct,no
3.69,0.086,1427.87,sb,home,6660,72.48954,direct,no
3.5,0.1312,13664.1,sb,home,6600,76.175214,direct,no
3.875,0.5133,250,sb,home,5820,94.458763,direct,no
4.5,1.1753,4250,sb,home,3900,71.788991,direct,no
?,?,?,sb,home,5160,69.506369,direct,yes
4.125,1.0306,3150,sb,home,2520,54.746835,direct,no
4.99,0.6066,4365.91,sb,home,16800,70.687646,direct,no
?,?,?,sb,home,1860,99.157303,direct,yes
?,?,?,sb,home,12240,99.107143,direct,yes
4.5,0.1804,6750,sb,home,4800,77.249135,direct,no
?,?,?,sb,home,11160,94.724771,direct,yes
4.875,0.7782,866.87,sb,home,5760,64.405204,direct,no
4.75,1.0149,8985,sb,home,14160,79.362416,direct,no
?,?,?,sb,home,1860,24.420849,direct,yes
4.5,0.7755,3750,sb,home,19500,66.321656,direct,no
4.625,0.9803,1733.88,sb,home,11160,87.921348,direct,no
3.5,-0.2595,1987.5,sb,home,22320,80.826558,direct,no
4.125,0.0207,1387.3,sb,home,10020,53.224206,direct,no
3.875,1.0655,4159.7,sb,home,4200,75.240385,direct,no
3.99,0.3653,2039.03,sb,home,5340,87.298387,direct,no
4.25,0.766,1270,sb,home,9960,92.820069,direct,no
3.625,-0.0288,2340.08,sb,home,4080,58.355615,direct,no
3.375,-0.0245,2875.63,sb,home,1680,86.184211,direct,no
4.5,0.2841,0,sb,home,4020,65.817901,direct,no
4.5,1.2009,2843.75,sb,home,1860,20.788043,direct,no
3,-0.0233,1500,sb,home,10260,59.937238,direct,no
4.99,0.7415,2370,sb,home,3120,58.027523,direct,no
6.24,1.582,?,sb,home,9840,27.552817,direct,no
2.875,0.045,6234.53,sb,home,10320,80.032468,direct,no
3.5,0.4888,3244.07,sb,home,12360,86.764706,direct,no
3.625,-0.0029,0,sb,home,10860,58.676093,direct,no
3.99,0.4336,5840,sb,home,4380,47.270742,direct,no
3.875,0.3965,1047.65,sb,home,5580,72.993311,direct,no
3.875,0.2654,0,sb,home,11580,60.304659,direct,no
4.75,1.1781,0,sb,home,4320,87.921348,direct,no
3.99,0.6244,6775,sb,home,9780,37.933168,direct,no
4.25,1.4505,2769.28,sb,home,9780,77.072193,direct,no
3.5,-0.13,0,sb,home,3240,51.344086,direct,no
3.99,0.4543,2357.5,sb,home,7080,95.542636,direct,no
?,?,?,sb,home,10500,86.726804,direct,yes
4.75,1.2689,2692.75,sb,home,2760,42.088608,direct,no
5.25,1.1568,0,sb,home,5400,78.110048,direct,no
4.125,0.4363,7019.22,sb,home,5880,68.70438,direct,no
3.625,0.5097,1506.31,sb,home,7620,48.247664,direct,no
?,?,?,sb,home,6960,53.354204,direct,yes
?,?,?,sb,home,10020,44.121287,direct,yes
2.99,-0.3892,5880.6,sb,home,8520,79.233871,direct,no
?,?,?,sb,home,2520,87.921348,direct,yes
4.625,1.1615,2680.9,sb,home,3660,77.412281,direct,no
3.375,-0.1853,6895,sb,home,3360,90.680473,direct,no
4.99,0.6403,1150,sb,home,2100,48.06701,direct,no
4.5,0.742,8410,sb,home,7740,77.537129,direct,no
4.75,0.616,0,sb,home,4680,88.722826,direct,no
4.375,-0.2832,4275,sb,home,7320,89.304124,direct,no
?,?,?,sb,home,5640,47.651357,direct,yes
3.99,1.0888,2026.36,sb,home,1140,52.314815,direct,no
4.875,1.0819,2634,sb,home,2580,78.061224,direct,no
4.375,0.2418,189.85,sb,home,4680,81.084656,direct,no
4,0.3496,1900,sb,home,5400,69.977169,direct,no
?,?,?,sb,home,2280,49.371859,direct,yes
?,?,?,sb,home,7980,97.125668,direct,yes
?,?,?,sb,home,12000,76.58046,direct,yes
3.625,0.0296,76.42,sb,home,4920,73.840206,direct,no
?,?,?,sb,home,2760,56.944444,direct,yes
3.875,1.2465,5423.2,sb,home,6960,97.975352,direct,no
4.875,1.4373,3337.5,sb,home,2820,60.817308,direct,no
3.99,0.6088,5878.13,sb,home,4620,94.95614,direct,no
4.25,-0.0291,250,sb,home,4380,90.948276,direct,no
4.625,0.9201,2909.5,sb,home,1860,67.578125,direct,no
4.25,0.0528,8503.13,sb,home,6840,61.856369,direct,no
5.5,1.3812,0,sb,home,2280,75.34965,direct,no
?,?,?,sb,home,8520,89.0625,direct,yes
3.625,0.0641,812,sb,home,4260,38.520408,direct,no
3.625,0.007,0,sb,home,6000,73.471616,direct,no
?,?,?,sb,home,9480,46.50838,direct,yes
4.375,0.201,11758.23,sb,home,7920,69.050802,direct,no
?,?,?,sb,home,3900,99.440299,direct,yes
5.375,1.1753,2453,sb,home,3060,67.857143,direct,no
4.875,0.8045,1150,sb,home,3420,68.640351,direct,no
4,-0.0818,820.87,sb,home,8160,74.283439,direct,no
3.875,-0.1425,6822.19,sb,home,8220,74.543379,direct,no
4.375,-0.013,0,sb,home,6660,23.142165,direct,no
3.99,0.192,0,sb,home,19740,79.618474,direct,no
3.625,0.1887,5030.18,sb,home,5400,76.285047,direct,no
3.25,-0.2873,2140.5,sb,home,3900,90.09434,direct,no
3.25,-0.7048,3294.48,sb,home,3960,85.630841,direct,no
3.99,0.9791,5261.38,sb,home,3240,94.95614,direct,no
4.25,-0.1055,891.26,sb,home,7920,79.618474,direct,no
?,?,?,sb,home,3960,28.084416,direct,yes
4.125,0.6569,6050,sb,home,6720,80.032468,direct,no
4.625,1.5018,3929.13,sb,home,6360,93.882979,direct,no
4.125,0.8191,3247.19,sb,home,4440,73.734177,direct,no
?,?,?,sb,home,7800,61.44802,direct,yes
4.625,1.1345,6384.25,sb,home,5160,71.648045,direct,no
?,?,?,sb,home,4560,81.25,direct,yes
3.5,0.6871,739.29,sb,home,10440,98.010381,direct,no
4.99,1.8031,0,sb,home,10800,98.462567,direct,no
4.875,0.4667,7418,sb,home,10380,44.81402,direct,no
?,?,?,sb,home,5760,90.303738,direct,yes
4.125,0.3982,7111.25,sb,home,7740,56.734914,direct,no
4.875,0.4519,563,sb,home,13800,75.152439,direct,no
3.75,0.489,2650,sb,home,3960,59.892086,direct,no
3.75,0.1438,882,sb,home,4920,45.883234,direct,no
4.375,1.2436,4723.88,sb,home,3660,95.168067,direct,no
4.125,0.285,0,sb,home,9840,87.431319,direct,no
3.75,0.9729,5097.5,sb,home,9120,40.296804,direct,no
3.625,-0.0299,1917.75,sb,home,14220,68.997797,direct,no
3.75,0.1963,9147,sb,home,4920,75.60241,direct,no
?,?,?,sb,home,3420,95.168067,direct,yes
5.25,0.719,473.3,sb,home,6660,89.454277,direct,no
3.625,-0.2979,0,sb,home,13260,60.187225,direct,no
3.375,-0.1303,2600.39,sb,home,2040,29.803493,direct,no
5.625,1.2132,1150,sb,home,6300,68.854749,direct,no
?,?,?,sb,home,7260,88.722826,direct,yes
4.25,0.101,1588.66,sb,home,3540,81.25,direct,no
3.875,0.2495,5483,sb,home,5400,80.02451,direct,no
4,0.4483,1517.28,sb,home,5280,66.061453,direct,no
4.5,0.5663,9000.55,sb,home,7260,64.182058,direct,no
4,-0.0151,381.18,sb,home,5160,79.575893,direct,no
?,?,?,sb,home,4200,87.298387,direct,yes
5.375,1.3999,1696.45,sb,home,2940,65.858209,direct,no
4.625,0.5262,5686.25,sb,home,19080,75.717703,direct,no
3.375,0.146,895,sb,home,23880,68.54067,direct,no
4.5,0.8637,1750.52,sb,home,1740,92.721519,direct,no
3.875,0.2824,0,sb,home,5400,82.670455,direct,no
?,?,?,sb,home,9960,80.011013,direct,yes
4.99,1.2696,4826.52,sb,home,8940,80.563187,direct,no
4.125,0.4089,6660.45,sb,home,9840,76.442308,direct,no
4.5,0.555,6982.99,sb,home,10500,73.4375,direct,no
5.375,1.4278,5355,sb,home,3720,77.877698,direct,no
4.625,1.1832,2412.5,sb,home,3840,95.542636,direct,no
4.56,0.862,4720.54,sb,home,5520,79.20082,direct,no
3.875,0.5042,?,sb,home,2460,44.266055,direct,no
?,?,?,sb,home,5400,102.852349,direct,yes
?,?,?,sb,home,4020,73.471616,direct,yes
?,?,?,sb,home,3720,95.542636,direct,yes
3.99,0.5929,3280,sb,home,2880,88.246269,direct,no
3.75,0.0834,3068,sb,home,6060,60.416667,direct,no
4.125,0.6356,0,sb,home,4800,97.248804,direct,no
3.875,0.6656,2867.91,sb,home,5220,99.369748,direct,no
?,?,?,sb,home,14760,51.492042,direct,yes
3.99,0.6045,6627,sb,home,10380,92.534722,direct,no
4.75,1.3192,128.35,sb,home,3000,93.539326,direct,no
3.75,-0.023,0,sb,home,9900,69.265233,direct,no
4.125,0.1199,14165.63,sb,home,9360,83.634538,direct,no
3.25,0.539,2190,sb,home,4980,96.78771,direct,no
4,0.142,0,sb,home,8400,70.752896,direct,no
4.75,0.8456,2794,sb,home,3960,62.681159,direct,no
4.75,1.0704,9027.5,sb,home,12480,65.545685,direct,no
4.125,0.47,1495,sb,home,3120,65.318627,direct,no
4.25,0.5838,2277.5,sb,home,12420,34.32309,direct,no
?,?,?,sb,home,2880,70.683453,direct,yes
4.56,0.748,5140,sb,home,5880,90.525114,direct,no
3.875,1.1853,6227.2,sb,home,6960,86.073825,direct,no
3.875,1.3113,6902.7,sb,home,10200,65.939597,direct,no
4.25,0.2749,0,sb,home,6300,89.225941,direct,no
3.875,0.0761,1250,sb,home,8700,71.057348,direct,no
?,?,?,sb,home,4020,40.335052,direct,yes
3.99,0.2765,3800.24,sb,home,4440,81.25,direct,no
3.5,0.5632,12458.64,sb,home,15300,66.42539,direct,no
?,?,?,sb,home,6540,93.639053,direct,yes
3.625,-0.0902,1000,sb,home,14220,64.071637,direct,no
3.5,0.7119,6170.92,sb,home,9780,58.971292,direct,no
3.5,-0.246,905.6,sb,home,6060,49.715262,direct,no
4.75,0.7526,2812.04,sb,home,21480,68.081761,direct,no
3.5,0.5731,4820,sb,home,4860,41.921769,direct,no
?,?,?,sb,home,1380,73.734177,direct,yes
5.125,1.0405,?,sb,home,12780,75.13587,direct,no
3.75,0.3522,9116,sb,home,8100,79.109589,direct,no
4.5,1.1911,0,sb,home,6960,97.248804,direct,no
3.99,1.0638,4800,sb,home,7680,79.233871,direct,no
3,-0.0467,3806.3,sb,home,6420,54.94723,direct,no
5.25,1.1874,?,sb,home,2400,71.701389,direct,no
?,?,?,sb,home,7800,88.085938,direct,yes
4.125,0.1254,987.21,sb,home,7320,102.672956,direct,no
4.99,0.749,3375,sb,home,3240,73.538961,direct,no
3.99,0.291,2303.94,sb,home,3960,45.621019,direct,no
3.99,1.0888,2026.36,sb,home,1140,52.314815,direct,no
3.99,0.5031,5000,sb,home,3420,69.295302,direct,no
4.75,1.3093,2044.23,sb,home,2100,98.611111,direct,no
3.75,0.1245,5250,sb,home,7920,99.715909,direct,no
4.99,0.799,2572.44,sb,home,1260,91.015625,direct,no
?,?,?,sb,home,5040,78.645833,direct,yes
?,?,?,sb,home,3780,72.606383,direct,yes
4,0.5565,0,sb,home,9000,94.034091,direct,no
3.75,0.304,12903.13,sb,home,8040,75.088028,direct,no
4.375,1.3449,540.55,sb,home,4500,80.783582,direct,no
3.99,0.619,3450,sb,home,4980,99.369748,direct,no
4,1.1881,11199.81,sb,home,12960,83.730159,direct,no
?,?,?,sb,home,14100,82.593123,direct,yes
4.75,0.3085,1396.14,sb,home,6840,72.691083,direct,no
?,?,?,sb,home,10620,97.313084,direct,yes
4.125,0.0779,0,sb,home,4560,83.279221,direct,no
3.49,-0.0978,0,sb,home,6420,89.772727,direct,no
?,?,?,sb,home,2760,92.721519,direct,yes
3.25,0.2022,4165,sb,home,7980,59.538153,direct,no
?,?,?,sb,home,9660,87.893701,direct,yes
4,0.4337,3837.22,sb,home,5040,68.954918,direct,no
5.5,1.134,7166.75,sb,home,9660,75.60241,direct,no
3.375,0.2713,9991.25,sb,home,3240,89.021164,direct,no
3.875,-0.109,6480.8,sb,home,13200,80.60472,direct,no
3.875,0.4311,2022.25,sb,home,10920,66.921397,direct,no
3.875,0.1097,100,sb,home,8460,80.021834,direct,no
4.375,0.2484,737.5,sb,home,7080,62.668919,direct,no
3.625,0.7068,2296.16,sb,home,8400,82.327586,direct,no
4,0.7068,2573.5,sb,home,3060,57.653061,direct,no
4.75,1.2932,5680,sb,home,13680,75.240385,direct,no
3.99,0.2719,145.8,sb,home,12960,87.741546,direct,no
3.75,1.7184,2996.77,sb,home,8700,99.157303,direct,no
4.75,0.2922,2197.86,sb,home,4200,59.831461,direct,no
